Model,Probability type,Temperature,bin,bin_lower,bin_upper,count,mean_predicted_probability,observed_event_rate,absolute_gap
ResNet18,raw,1.0,1.0,0.0,0.1,190.0,0.0173461809754371,0.0,0.0173461809754371
ResNet18,raw,1.0,2.0,0.1,0.2,23.0,0.1490793526172638,0.1739130434782608,0.024833690860997
ResNet18,raw,1.0,3.0,0.2,0.3,12.0,0.2272554785013198,0.4166666666666667,0.1894111881653468
ResNet18,raw,1.0,4.0,0.3,0.4,15.0,0.3443401753902435,0.2666666666666666,0.0776735087235768
ResNet18,raw,1.0,5.0,0.4,0.5,7.0,0.4488070607185364,0.5714285714285714,0.122621510710035
ResNet18,raw,1.0,6.0,0.5,0.6000000000000001,8.0,0.56043541431427,0.75,0.1895645856857299
ResNet18,raw,1.0,7.0,0.6000000000000001,0.7000000000000001,13.0,0.6475248336791992,0.8461538461538461,0.1986290124746469
ResNet18,raw,1.0,8.0,0.7000000000000001,0.8,27.0,0.760637640953064,0.925925925925926,0.1652882849728619
ResNet18,raw,1.0,9.0,0.8,0.9,37.0,0.8503723740577698,0.972972972972973,0.1226005989152032
ResNet18,raw,1.0,10.0,0.9,1.0,541.0,0.989274263381958,1.0,0.0107257366180419
ResNet18,temperature_scaled,0.4894367690114362,1.0,0.0,0.1,225.0,0.0078011457808315,0.04,0.0321988542191684
ResNet18,temperature_scaled,0.4894367690114362,2.0,0.1,0.2,7.0,0.1745318472385406,0.2857142857142857,0.111182438475745
ResNet18,temperature_scaled,0.4894367690114362,3.0,0.2,0.3,8.0,0.2482166737318039,0.25,0.0017833262681961
ResNet18,temperature_scaled,0.4894367690114362,4.0,0.3,0.4,4.0,0.3417937159538269,0.5,0.1582062840461731
ResNet18,temperature_scaled,0.4894367690114362,5.0,0.4,0.5,3.0,0.4729971885681152,0.6666666666666666,0.1936694780985514
ResNet18,temperature_scaled,0.4894367690114362,6.0,0.5,0.6000000000000001,4.0,0.5563743114471436,0.5,0.0563743114471435
ResNet18,temperature_scaled,0.4894367690114362,7.0,0.6000000000000001,0.7000000000000001,4.0,0.6835725903511047,1.0,0.3164274096488952
ResNet18,temperature_scaled,0.4894367690114362,8.0,0.7000000000000001,0.8,10.0,0.7616311311721802,0.8,0.0383688688278198
ResNet18,temperature_scaled,0.4894367690114362,9.0,0.8,0.9,11.0,0.8592901229858398,1.0,0.1407098770141601
ResNet18,temperature_scaled,0.4894367690114362,10.0,0.9,1.0,597.0,0.9953846335411072,0.9949748743718592,0.0004097591692479
MobileNetV3-Small,raw,1.0,1.0,0.0,0.1,157.0,0.0401444658637046,0.0063694267515923,0.0337750391121123
MobileNetV3-Small,raw,1.0,2.0,0.1,0.2,43.0,0.1452240049839019,0.1860465116279069,0.040822506644005
MobileNetV3-Small,raw,1.0,3.0,0.2,0.3,26.0,0.2460615336894989,0.1923076923076923,0.0537538413818065
MobileNetV3-Small,raw,1.0,4.0,0.3,0.4,24.0,0.3562354743480682,0.2916666666666667,0.0645688076814015
MobileNetV3-Small,raw,1.0,5.0,0.4,0.5,27.0,0.4490431249141693,0.8518518518518519,0.4028087269376825
MobileNetV3-Small,raw,1.0,6.0,0.5,0.6000000000000001,26.0,0.5430888533592224,0.8461538461538461,0.3030649927946237
MobileNetV3-Small,raw,1.0,7.0,0.6000000000000001,0.7000000000000001,33.0,0.6598789691925049,1.0,0.3401210308074951
MobileNetV3-Small,raw,1.0,8.0,0.7000000000000001,0.8,47.0,0.7513853311538696,1.0,0.2486146688461303
MobileNetV3-Small,raw,1.0,9.0,0.8,0.9,86.0,0.8578391671180725,1.0,0.1421608328819275
MobileNetV3-Small,raw,1.0,10.0,0.9,1.0,404.0,0.969082534313202,1.0,0.030917465686798
MobileNetV3-Small,temperature_scaled,0.4773525321279752,1.0,0.0,0.1,216.0,0.0117475902661681,0.0555555555555555,0.0438079652893874
MobileNetV3-Small,temperature_scaled,0.4773525321279752,2.0,0.1,0.2,18.0,0.1462151557207107,0.1666666666666666,0.0204515109459559
MobileNetV3-Small,temperature_scaled,0.4773525321279752,3.0,0.2,0.3,16.0,0.2516941428184509,0.375,0.123305857181549
MobileNetV3-Small,temperature_scaled,0.4773525321279752,4.0,0.3,0.4,14.0,0.3402859568595886,0.8571428571428571,0.5168569002832685
MobileNetV3-Small,temperature_scaled,0.4773525321279752,5.0,0.4,0.5,13.0,0.4557684659957886,0.8461538461538461,0.3903853801580575
MobileNetV3-Small,temperature_scaled,0.4773525321279752,6.0,0.5,0.6000000000000001,14.0,0.5413482785224915,0.7142857142857143,0.1729374357632228
MobileNetV3-Small,temperature_scaled,0.4773525321279752,7.0,0.6000000000000001,0.7000000000000001,12.0,0.6434875130653381,1.0,0.3565124869346618
MobileNetV3-Small,temperature_scaled,0.4773525321279752,8.0,0.7000000000000001,0.8,17.0,0.7603387832641602,1.0,0.2396612167358398
MobileNetV3-Small,temperature_scaled,0.4773525321279752,9.0,0.8,0.9,32.0,0.8572708368301392,1.0,0.1427291631698608
MobileNetV3-Small,temperature_scaled,0.4773525321279752,10.0,0.9,1.0,521.0,0.990374743938446,1.0,0.0096252560615539
